deployID,tag_Type,prh_Name,lunge_Name,prey_type,latitude,longitude
mn160725-36b,CATS,mn160725-36b 10Hzprh.mat,mn160725-36bprh10_lunges.mat,krill,36.85,-121.9429
mn160727-11,CATS,mn160727-11 10Hzprh.mat,mn160727-11prh10_lunges.mat,krill,36.8534,-121.9682
mn161006-11,CATS,mn161006-11 10Hzprh.mat,mn161006-11prh10_lunges.mat,fish,36.63566044,-121.845001
mn161117-10,CATS,mn161117-10 10Hzprh.mat,mn161117-10prh10_lunges.mat,fish,36.8106,-121.8449
mn161117-20,CATS,mn161117-20 10Hzprh.mat,mn161117-20lunges.mat,fish,36.8108,-121.8652
mn170410-20,CATS,mn170410-20 10Hzprh.mat,mn170410-20prh10_lunges.mat,krill,36.794,-121.8301
mn170807-40,CATS,mn170807-40 10Hzprh.mat,mn170807-40lunges.mat,fish,34.3546,-119.7184
mn170808-42,CATS,mn170808-42 10Hzprh.mat,mn170808-42prh10_lunges.mat,fish,34.2937,-119.8994
mn170809-41,CATS,mn170809-41 10Hzprh.mat,mn170809-41prh10_lunges.mat,fish,34.3386,-120.0659
mn170809-43,CATS,mn170809-43 10Hzprh.mat,mn170809-43prh10_lunges.mat,fish,34.3043,-120.0239
mn170809-44,CATS,mn170809-44 10Hzprh.mat,mn170809-44lunges.mat,fish,34.3014,-120.0189
mn170809-51,CATS,mn170809-51 10Hzprh.mat,mn170809-51lunges.mat,fish,34.3507,-120.0054
mn170810-30,CATS,mn170810-30 10Hzprh.mat,mn170810-30lunges.mat,fish,34.3808,-120.1279
mn170810-40,CATS,mn170810-40 10Hzprh.mat,mn170810-40prh10_lunges.mat,fish,34.3431,-120.1345
mn170815-10,CATS,mn170815-10 10Hzprh.mat,mn170815-10prh10_lunges.mat,krill,36.8042,-122.0845
mn170817-30,CATS,mn170817-30 10Hzprh.mat,mn170817-30prh10_lunges.mat,fish,36.8016,-121.8112
mn170817-43,CATS,mn170817-43 10Hzprh.mat,mn170817-43prh10_lunges.mat,fish,36.7982,-121.8135
mn170817-50,CATS,mn170817-50 10Hzprh.mat,mn170817-50prh10_lunges.mat,fish,36.8013,-121.8126
mn170817-51,CATS,mn170817-51 10Hzprh.mat,mn170817-51lunges.mat,fish,36.803,-121.8051
mn180423-40,CATS,mn180423-40 10Hzprh.mat,mn180423-40lunges.mat,fish,36.76653333,-121.8645167
mn180423-43,CATS,mn180423-43 10Hzprh.mat,mn180423-43lunges.mat,fish,36.80183333,-121.8006667
mn180424-11,CATS,mn180424-11 10Hzprh.mat,mn180424-11lunges.mat,fish,36.80533333,-121.8034667
mn180424-30,CATS,mn180424-30 10Hzprh.mat,mn180424-30lunges.mat,fish,36.80383333,-121.797
mn180425-23,CATS,mn180425-23 10Hzprh.mat,mn180425-23lunges.mat,krill,36.75442,-121.88177
mn180425-40,CATS,mn180425-40 10Hzprh.mat,mn180425-40lunges.mat,krill,36.74446,-121.89673
mn180607-42,CATS,mn180607-42 10Hzprh.mat,mn180607-42lunges.mat,fish,36.7988,-121.8186
mn180607-44,CATS,mn180607-44 10Hzprh.mat,mn180607-44lunges.mat,fish,36.8009,-121.8182
mn180607-45,CATS,mn180607-45 10Hzprh.mat,mn180607-45lunges.mat,fish,36.7995,-121.8127
mn180608-47,CATS,mn180608-47 10Hzprh.mat,mn180608-47lunges.mat,fish,36.80380633,-121.8036632
mn180705-47,CATS,mn180705-47 10Hzprh.mat,mn180705-47lunges.mat,krill,48.4625,-125.0559
mn180807-49,CATS,mn180807-49 10Hzprh.mat,mn180807-49lunges.mat,fish,36.79918846,-121.8244489
mn180831-11,CATS,mn180831-11 10Hzprh.mat,mn180831-11lunges.mat,fish,36.80833,-121.8542
mn180831-20,CATS,mn180831-20 10Hzprh.mat,mn180831-20lunges.mat,fish,36.78633333,-121.844
mn180831-30,CATS,mn180831-30 10Hzprh.mat,mn180831-30lunges.mat,fish,36.78466667,-121.8436667
mn180831-44,CATS,mn180831-44 10Hzprh.mat,mn180831-44lunges.mat,fish,36.78694934,-121.8413741
mn180906-20,CATS,mn180906-20 10Hzprh.mat,mn180906-20lunges.mat,fish,36.80366667,-121.8011667
mn180906-30a,CATS,mn180906-30a 10Hzprh.mat,mn180906-30alunges.mat,fish,36.805,-121.8045
mn180906-40,CATS,mn180906-40 10Hzprh.mat,mn180906-40lunges.mat,fish,36.80383333,-121.806
mn180924-42,CATS,mn180924-42 10Hzprh.mat,mn180924-42lunges.mat,krill,48.3565,-124.1654
mn180924-48,CATS,mn180924-48 10Hzprh.mat,mn180924-48lunges.mat,krill,48.3865,-124.2089
mn180924-49,CATS,mn180924-49 10Hzprh.mat,mn180924-49lunges.mat,krill,48.3645,-124.171
mn180924-53,CATS,mn180924-53 10Hzprh.mat,mn180924-53lunges.mat,krill,48.3489,-124.2039
mn181002-45,CATS,mn181002-45 10Hzprh.mat,mn181002-45lunges.mat,fish,36.6486,-121.9754
mn181002-47,CATS,mn181002-47 10Hzprh.mat,mn181002-47lunges.mat,fish,36.6511,-121.9733
mn181002-49,CATS,mn181002-49 10Hzprh.mat,NA,fish,36.6581,-121.965
mn181002-53,CATS,mn181002-53 10Hzprh.mat,mn181002-53lunges.mat,fish,36.6496,-121.9751
mn181003-53,CATS,mn181003-53 10Hzprh.mat,NA,fish,36.7922,-121.9532
bp10_236a,DTAG,bp10_236aprh.mat,bp10_236alunges.mat,krill,33.5782,-118.07
bp10_236b,DTAG,bp10_236bprh.mat,bp10_236blunges.mat,krill,33.572,-118.0472
bp10_239a,DTAG,bp10_239aprh.mat,bp10_239alunges.mat,krill,33.585,-118.1095
bp10_244a,DTAG,bp10_244aprh.mat,bp10_244alunges.mat,krill,33.8312,-118.5578
bp10_245a,DTAG,bp10_245aprh.mat,bp10_245alunges.mat,krill,33.8248,-118.5597
bp10_247a,DTAG,bp10_247aprh.mat,bp10_247alunges.mat,krill,33.7615,-118.4808
bp12_217a,DTAG,bp12_217aprh.mat,bp12_217alunges.mat,krill,33.7402,-118.4333
bp12_294a,DTAG,bp12_294aprh.mat,bp12_294alunges.mat,krill,33.32281,-118.76872
bp13_193a,DTAG,bp13_193aprh.mat,bp13_193alunges.mat,krill,33.1128,-118.8713
bp13_216a,DTAG,bp13_216aprh.mat,bp13_216alunges.mat,krill,33.58352,-118.29873
bp13_257a,DTAG,bp13_257aprh.mat,bp13_257alunges.mat,krill,33.76978,-118.50414
bp13_257b,DTAG,bp13_257bprh.mat,bp13_257blunges.mat,krill,33.76978,-118.50414
bp13_258a,DTAG,bp13_258aprh.mat,bp13_258alunges.mat,krill,33.81339,-118.45149
bp13_258b,DTAG,bp13_258bprh.mat,bp13_258blunges.mat,krill,33.81339,-118.45149
bp13_258c,DTAG,bp13_258cprh.mat,bp13_258clunges.mat,krill,33.81339,-118.45149
bp13_259a,DTAG,bp13_259aprh.mat,bp13_259alunges.mat,krill,33.82401,-118.46418
bp13_265a,DTAG,bp13_265aprh.mat,bp13_265alunges.mat,krill,33.83023,-118.525
bp15_075a,DTAG,bp15_075aprh.mat,bp15_075alunges.mat,krill,33.3962,-117.8155
bp15_229a,DTAG,bp15_229aprh.mat,bp15_229alunges.mat,krill,33.5342,-118.662
bp15_235a,DTAG,bp15_235aprh.mat,bp15_235alunges.mat,krill,33.5052,-118.7993
bp15_236a,DTAG,bp15_236aprh.mat,bp15_236alunges.mat,krill,33.4092,-118.8758
bw10_229a,DTAG,bw10_229aprh.mat,bw10_229alunges.mat,krill,33.1978,-117.508
bw10_229b,DTAG,bw10_229bprh.mat,bw10_229blunges.mat,krill,33.2213,-117.492
bw10_230a,DTAG,bw10_230aprh.mat,bw10_230alunges.mat,krill,33.2,-117.4783
bw10_235a,DTAG,bw10_235aprh.mat,bw10_235alunges.mat,krill,33.56433333,-117.903
